id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,instrumentalness,language
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020,euphoric;upbeat,0.05,en
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,62,2010,focused;nostalgic,0.85,instrumental
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,70,2000,aggressive;driving,0.10,en
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2020,calm;focused,0.90,instrumental
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,90,2010,energetic;euphoric,0.02,en
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,40,2010,dreamy;calm,0.95,instrumental
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,55,1990,nostalgic;warm,0.60,en
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,66,1980,nostalgic;moody,0.30,instrumental
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,58,2020,focused;calm,0.88,instrumental
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,72,2010,euphoric;upbeat,0.08,en
11,Concrete Dreams,Blocktape,hip-hop,confident,0.78,95,0.62,0.85,0.12,80,2020,confident;bold,0.05,en
12,Neon Overdrive,Pulse Theory,edm,energetic,0.95,128,0.88,0.92,0.03,88,2020,euphoric;energetic,0.20,instrumental
13,Winter Nocturne,Amelie Rousseau,classical,melancholy,0.22,68,0.30,0.20,0.95,35,1980,melancholy;somber,0.98,instrumental
14,Backroad Sunset,Cassidy Lane,country,nostalgic,0.55,102,0.72,0.64,0.55,60,2000,nostalgic;warm,0.15,en
15,Velvet Hours,Sable Moon,r&b,romantic,0.48,88,0.68,0.70,0.40,68,2010,romantic;smooth,0.10,en
16,Iron Verdict,Ashfall,metal,aggressive,0.98,160,0.35,0.55,0.04,64,2000,aggressive;intense,0.05,en
17,Paper Boats,Wren Hollow,folk,sad,0.30,74,0.38,0.42,0.88,45,1990,melancholy;sad,0.50,en
18,Island Time,Coral Sound,reggae,carefree,0.60,96,0.80,0.78,0.45,58,1990,carefree;warm,0.12,en
